course,imd_sc,srvd_lsoa,srvd_pop,pop_km2,nearestlsoa
oak-hill,9.566,100,174577,3119,E01000175
footscraymeadows,26.782,24,39491,837,E01000381
bexley,13.32,101,171818,3643,E01000391
gladstone,20.202,143,274168,12229,E01000512
bromley,10.953,51,89024,6623,E01000671
southnorwood,13.171,68,111711,4485,E01000704
hoblingwell,33.292,32,52570,3805,E01000737
crystalpalace,22.29,68,119969,4185,E01000745
orpington,13.846,40,64697,1538,E01000786
hampsteadheath,8.558,158,294622,3223,E01000893
lloyd,9.847,82,148025,4312,E01001044
riddlesdown,12.629,71,119481,2670,E01001071
northalafields,33.06,171,308687,5316,E01001324
pymmes,27.973,101,188388,18755,E01001466
grovelands,9.202,62,108806,5992,E01001526
hackney-marshes,46.086,84,178031,22904,E01001790
wormwoodscrubs,39.926,228,395666,11170,E01001878
allypally,16.713,91,166079,2587,E01001964
finsbury,25.418,111,204013,12506,E01002065
canonspark,13.587,100,188113,4252,E01002115
harrow,10.815,124,223904,7968,E01002160
harrowlodge,21.876,110,189572,3165,E01002324
raphael,11.154,77,135964,1234,E01002337
bedfont,27.275,73,128327,1080,E01002559
gunnersbury,31.503,98,167562,1524,E01002562
crane,38.959,67,123117,5682,E01002604
osterley,16.056,78,146580,1710,E01002676
highburyfields,20.242,195,383706,10830,E01002740
brockwell,29.84,67,123948,18488,E01003177
beckenhamplace,30.171,50,85100,2736,E01003235
hillyfields,24.352,52,100410,12720,E01003277
catford,36.883,64,112693,8455,E01003323
beckton,34.002,93,185878,5351,E01003479
valentines,18.489,84,160249,11187,E01003692
barking,43.847,127,252497,12302,E01003735
kingston,9.392,40,71037,3353,E01003818
olddeerpark,10.128,33,58229,3829,E01003876
richmond,19.507,28,46478,1439,E01003878
bushy,6.23,81,148567,671,E01003889
burgess,39.547,138,249661,15938,E01003967
peckhamrye,24.802,38,73514,2952,E01004015
southwark,28.193,88,174675,5399,E01004031
dulwich,9.612,24,42458,3024,E01004075
roundshaw,51.262,77,130994,4210,E01004088
mileend,39.901,123,262635,25724,E01004264
walthamstow,23.887,103,189387,8437,E01004419
wansteadflats,19.303,83,159787,12513,E01004441
tootingcommon,18.995,151,271098,5019,E01004486
claphamcommon,5.78,180,306268,12670,E01004555
wimbledon,23.123,127,211983,2307,E01004572
bolton,60.34,203,326105,3226,E01004801
heaton,17.647,140,250611,7534,E01005040
wythenshawe,46.694,77,132457,2156,E01005112
stretford,21.762,78,133092,7415,E01005151
fletchermoss,10.093,24,39091,1619,E01005169
southmanchester,53.763,139,293389,3682,E01005180
oldham,37.686,108,181860,14913,E01005326
chaddertonhall,8.447,94,150140,4154,E01005336
hilltop,69.151,74,122702,4701,E01005586
watergrove,13.142,32,51003,265,E01005597
worsleywoods,7.112,122,192137,598,E01005738
cheadlehulme,17.856,33,51754,2909,E01005777
burnage,8.709,31,49313,2287,E01005852
woodbank,24.532,69,106228,2080,E01005870
marple,4.668,22,33275,1162,E01005883
bramhall,3.494,48,71665,1684,E01005929
stamfordpark,16.046,71,115802,5349,E01005942
hyde,36.817,66,101873,3631,E01006036
salewater,10.08,48,81957,1772,E01006164
haighwoodland,12.295,105,166657,237,E01006231
penningtonflash,55.654,82,134724,585,E01006327
bickershaw,33.961,74,121938,860,E01006329
knowsley,41.407,94,139311,3447,E01006477
croxtethhall,40.713,179,272084,3858,E01006624
princes,59.92,161,287341,6617,E01006678
sthelens,28.942,102,153274,3002,E01006915
crosby,18.205,103,146629,6360,E01006942
southport,30.786,70,106745,4715,E01006944
birkenhead,27.211,175,273008,2870,E01007156
barnsley,23.822,144,239874,1201,E01007415
doncaster,36.75,170,271310,1149,E01007656
rotherham,61.336,150,236564,1603,E01007714
concord,46.621,69,110494,5126,E01007857
sheffieldhallam,5.411,69,127559,7395,E01007935
hillsborough,13.618,72,115072,10992,E01007989
sheffieldcastle,61.166,71,124086,4352,E01008012
rothervalley,9.036,75,117484,2284,E01008035
graves,8.568,63,98060,1890,E01008079
gibside,9.851,58,92261,494,E01008188
windynook,24.577,87,129319,3573,E01008230
gateshead,25.915,41,71192,2434,E01008255
newcastle,14.274,165,281229,13028,E01008394
risingsun,8.006,114,176192,1073,E01008501
whitleybay,2.349,52,80801,3566,E01008546
southshields,10.316,87,128945,5431,E01008647
sunderland,44.454,153,231832,8001,E01008828
cannon-hill,22.835,350,628010,3952,E01008982
perryhall,22.792,126,236656,4431,E01009241
suttonpark,7.515,143,231797,3814,E01009469
coventry,10.726,178,331216,1584,E01009559
dudley,40.805,223,355696,3603,E01009753
sandwellvalley,27.206,168,299120,1841,E01010105
brueton,5.114,164,267145,1558,E01010198
walsall,47.662,171,288367,3544,E01010318
wolverhampton,40.6,208,342070,3673,E01010508
myrtle,19.014,40,65644,4150,E01010585
bradford,51.768,115,203959,14742,E01010676
cliffecastle,42.097,63,102926,3801,E01010728
hortonpark,50.702,97,172035,5085,E01010839
brighouse,24.464,41,65792,915,E01010878
halifax,39.264,88,144805,3040,E01010961
oakwellhall,24.091,44,71662,1098,E01011049
dewsbury,63.198,91,153708,5953,E01011140
huddersfield,37.969,134,228831,3433,E01011232
crossflatts,26.635,35,58463,9162,E01011314
bramley,11.964,105,158821,4394,E01011329
templenewsam,16.959,55,82364,198,E01011420
woodhousemoor,27.949,75,147587,20236,E01011444
middletonwoods,56.453,44,72033,7000,E01011491
rothwell,8.201,31,47408,3087,E01011628
roundhay,10.622,77,119817,1901,E01011655
keppel,10.747,16,26820,1402,E01011700
wetherby,2.34,14,20484,642,E01011702
nostell,18.839,55,90095,161,E01011766
pontefract,23.533,72,123713,293,E01011841
wakefieldthornes,31.779,76,122186,1851,E01011907
stewart,18.731,51,76697,2135,E01012052
albert,58.632,162,271514,9800,E01012092
redcar,35.654,59,93543,3941,E01012101
flattslane,7.857,46,72108,4277,E01012147
darlingtonsouthpark,28.302,68,109508,2673,E01012358
phoenix,68.253,49,74239,4526,E01012381
widnes,15.516,53,88070,2178,E01012426
warrington,27.769,110,183643,3519,E01012505
witton,14.931,96,154720,3238,E01012618
blackpool,25.179,160,242190,5926,E01012740
peterpan,15.582,108,168164,7265,E01012771
hull,8.446,148,232494,3623,E01012812
sewerby,12.459,50,79717,464,E01012942
goole,12.886,31,53851,1685,E01012993
humberbridge,9.619,44,74243,748,E01013005
cleethorpes,6.192,144,223574,3162,E01013157
normanbyhall,5.219,8,12677,1415,E01013293
scunthorpe,11.048,76,128928,1813,E01013321
york,3.197,55,93655,2946,E01013357
