course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
,,,,,,
aberbeeg,-3.144321,51.711236,03/11/2018,0.4,85.6,14.4
,,,,,,
brooklands,0.543354,51.346958,17/11/2018,0.3,260.3,21.7
,,,,,,
fletchermoss,-2.231866,53.409252,17/11/2018,0.3,190.3,22.7
,,,,,,
haylodge,-3.199509,55.651627,03/11/2018,0.4,134.4,16.8
,,,,,,
henleywood,-3.030152,52.862767,20/10/2018,0.4,154.9,31.6
,,,,,,
jerseyfarm,-0.308582,51.773097,10/11/2018,0.3,139.8,24.3
,,,,,,
marketrasenracecourse,-0.315743,53.381506,03/11/2018,0.4,135.6,22.2
,,,,,,
myrtle,-1.8411013,53.846333,03/11/2018,0.4,268.8,26.2
,,,,,,
potternewton,1.5975042,53.818494,17/11/2018,0.3,195,24.3
,,,,,,
somerdalepavilion,-2.495692,51.426516,17/11/2018,0.3,146.7,19.3
,,,,,,
warrenhill,1.460759,52.057751,10/11/2018,0.3,46.5,10.3
,,,,,,
wayland,0.8587601,52.5525489,14/04/2018,0.9,28.7,11.6
,,,,,,
lowestoft,1.745482,52.466508,31/10/2015,3.4,203.2,12.5
,,,,,,
gorleston,1.72893,52.563491,25/04/2009,9.9,167.7,14.3
,,,,,,
frittonlake,1.652713,52.543973,05/05/2012,6.9,59,6.8
,,,,,,
sizewell,1.62233,52.21019,25/08/2018,0.5,105.5,10.4
,,,,,,
brundall,1.414661,52.624447,20/06/2015,3.7,119.1,11.8
,,,,,,
margate,1.412516,51.391976,27/04/2013,5.9,64.4,10.1
,,,,,,
walmeranddealseafront,1.403171,51.209444,15/09/2018,0.5,175.9,27.8
,,,,,,
pegwellbay,1.358013,51.319429,11/05/2013,5.8,117.6,14.8
,,,,,,
felixstowe,1.345696,51.957768,07/04/2018,0.9,218.4,21.3
,,,,,,
catton,1.297288,52.658659,05/10/2013,5.4,245.8,20
,,,,,,
harwich,1.284856,51.937834,01/08/2015,3.6,96.4,12.7
,,,,,,
norwich,1.2586536,52.6206114,07/08/2010,8.6,382,17.2
,,,,,,
kesgrave,1.248236,52.057135,20/09/2014,4.5,284,31.5
,,,,,,
mulbarton,1.235253,52.563197,16/03/2013,6,78,6.8
,,,,,,
colneylane,1.225181,52.621391,09/12/2017,1.3,160.3,20.2
,,,,,,
blickling,1.219397,52.815628,09/11/2013,5.3,149.6,14.5
,,,,,,
folkestone,1.169872,51.075461,16/08/2014,4.6,156.4,16.2
,,,,,,
sheringham,1.168413,52.930637,03/11/2012,6.4,136.9,12.8
,,,,,,
clactonseafront,1.142967,51.781574,15/10/2016,2.4,114.9,14.2
,,,,,,
ipswich,1.116425,52.051155,08/09/2012,6.5,239.8,28.1
,,,,,,
canterbury,1.0566713,51.2989755,15/03/2014,5,98.6,16.9
,,,,,,
whitstable,1.041942,51.365297,06/11/2010,8.4,179.2,24
,,,,,,
merseaisland,0.9937476,51.7913413,17/12/2016,2.2,88,17.6
,,,,,,
