Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Latitude,Longitude
2004-1-1T0:0:0,sheffield,33.2,44.3,39.8,36.8,89.32,,24.7,,264.84,0.6,8,,10.1,,1006,53.38311,-1.46455
2004-1-2T0:0:0,sheffield,32.4,40.4,37,33.3,86.49,,15.2,,192.04,0,0,,10.2,,1020.6,53.38311,-1.46455
2004-1-3T0:0:0,sheffield,31.2,42.2,34.9,32.2,90.07,,11.5,,223.4,0,0,,5.4,,1021.1,53.38311,-1.46455
2004-1-4T0:0:0,sheffield,40.7,45.2,42.6,39.1,87.17,,11.8,,271.92,0,0,,7.1,,1019.1,53.38311,-1.46455
2004-1-5T0:0:0,sheffield,42,49.8,45.5,42.9,90.79,,15.8,,209.04,0,4,,5.2,,1014,53.38311,-1.46455
2004-1-6T0:0:0,sheffield,40.6,50.3,46.3,40.1,79.74,,23,,240.56,0,4,,13.4,,1011.1,53.38311,-1.46455
2004-1-7T0:0:0,sheffield,40.7,50.3,45.6,41.3,84.97,,27.5,,180.88,0,4,,8.5,,1008.3,53.38311,-1.46455
2004-1-8T0:0:0,sheffield,40.7,50.3,46,42.7,88.35,,22.9,,197.24,0.3,8,,11.8,,990.3,53.38311,-1.46455
2004-1-9T0:0:0,sheffield,38,44.7,40.8,35.9,82.85,,14.8,,246.76,0,4,,15.2,,999.6,53.38311,-1.46455
2004-1-10T0:0:0,sheffield,38.2,50.3,45.4,41.6,86.67,,21.9,,223.04,0,0,,10.9,,1006.3,53.38311,-1.46455
2004-1-11T0:0:0,sheffield,37.9,51.2,44.9,38,77.31,,22.9,,237.44,0.2,8,,14.8,,996,53.38311,-1.46455
2004-1-12T0:0:0,sheffield,37.9,44,40.7,35.7,82.31,,26.8,,234.12,0,0,,13.3,,993.7,53.38311,-1.46455
2004-1-13T0:0:0,sheffield,35.8,45.2,41.9,35.9,79.67,,22.7,,253.88,0.2,4,,13.6,,983.9,53.38311,-1.46455
2004-1-14T0:0:0,sheffield,33.6,39.5,37.1,32.2,82.4,,20.5,,241,0,4,,12.9,,995.6,53.38311,-1.46455
2004-1-15T0:0:0,sheffield,34.1,44.4,38.7,36,89.78,,17.7,,222.28,0.3,8,,12,,996.3,53.38311,-1.46455
2004-1-16T0:0:0,sheffield,33.2,43.1,39.3,34.1,81.81,,17.2,,275.6,0.1,4,,14.1,,988.8,53.38311,-1.46455
2004-1-17T0:0:0,sheffield,32.4,40.2,35.7,32.2,87.18,,13.9,,205,0,0,,10.1,,1005.6,53.38311,-1.46455
2004-1-18T0:0:0,sheffield,32.3,42.7,36.4,32.9,87.1,,18,,271.16,0,4,,9.9,,1024.7,53.38311,-1.46455
2004-1-19T0:0:0,sheffield,42,51,47.2,42.8,84.63,,35.8,,275.76,0,0,,18.8,,1014.5,53.38311,-1.46455
